증권종류,회사명,종목코드,업종,주요제품,상장일,결산일,대표자명,홈페이지,지역
코스닥,뉴트리,270870,기타 식품 제조업,기타 식품 제조업,2018-12-13,12월,김도언,http://www.newtree.co.kr,서울특별시
코스닥,비투엔,307870,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2018-12-12,12월,이창현..,http://www.b2en.com,서울특별시
코스닥,이노메트리,302430,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2018-12-12,12월,이갑수,http://www.innometry.com,경기도
코스닥,DH오토리드,290120,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2018-12-07,12월,이석근,http://www.dhautolead.co.kr,전북특별자치도
코스닥,에코캡,128540,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2018-12-05,12월,김창규,http://www.ecocab.co.kr,울산광역시
코스닥,원바이오젠,307280,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2018-12-05,12월,김원일,http://wonbiogen.co.kr,경상북도
코스닥,윙입푸드,HKG320,기타 금융업,기타 금융업,2018-11-30,12월,왕현도,http://wingyip-food.com,홍콩
코스닥,남화산업,111710,스포츠 서비스업,스포츠 서비스업,2018-11-29,12월,최재훈..,http://www.muangc.co.kr,전라남도
코스닥,엠아이텍,179290,의료용 기기 제조업,의료용 기기 제조업,2018-11-29,12월,곽재오,http://www.mitech.co.kr,경기도
코스닥,티로보틱스,117730,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2018-11-29,12월,안승욱,http://www.t-robotics.net/,경기도
코스닥,네오펙트,290660,의료용 기기 제조업,의료용 기기 제조업,2018-11-28,12월,백명훈,http://www.neofect.com,경기도
코넥스,에이펙스인텍,207490,전구 및 조명장치 제조업,전구 및 조명장치 제조업,2018-11-28,12월,김권진,http://www.apexint.co.kr,경상북도
코스닥,티앤알바이오팹,246710,기초 의약물질 제조업,기초 의약물질 제조업,2018-11-28,12월,윤원수,http://www.tnrbiofab.com,경기도
코넥스,나라소프트,288490,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2018-11-23,12월,황승현,http://www.narasoft.com,서울특별시
유가증권,아시아나IDT,267850,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업",2018-11-23,12월,김응철,http://www.asianaidt.com,서울특별시
코스닥,디알젬,263690,의료용 기기 제조업,의료용 기기 제조업,2018-11-22,12월,박정병,http://www.drgem.co.kr,경기도
코스닥,싸이토젠,217330,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2018-11-22,12월,전병희..,http://cytogenlab.com,서울특별시
코스닥,아주IB투자,027360,기타 금융업,기타 금융업,2018-11-21,12월,김지원,http://www.ajuib.co.kr,서울특별시
코스닥,파멥신,208340,의약품 제조업,의약품 제조업,2018-11-21,12월,심주엽,http://www.pharmabcine.com/,대전광역시
코스닥,디케이앤디,263020,플라스틱제품 제조업,플라스틱제품 제조업,2018-11-20,12월,최민석,http://www.dknd.co.kr,경기도
코스닥,퀀텀온,227100,부동산 관련 서비스업,부동산 관련 서비스업,2018-11-15,12월,서영효,http://quantumon.co.kr,서울특별시
코스닥,노바렉스,194700,기타 식품 제조업,기타 식품 제조업,2018-11-14,12월,권석형,http://www.novarex.co.kr,충청북도
코스닥,대보마그네틱,290670,기타 전기장비 제조업,기타 전기장비 제조업,2018-11-06,12월,이준각,http://www.daebo.com,경기도
